Question;Charts_id
Given the number of records and that some variables are symbolic, we might be facing the curse of dimensionality.;['Breast_Cancer_nr_records_nr_variables']
Given the number of records and that some variables are date, we might be facing the curse of dimensionality.;['Breast_Cancer_nr_records_nr_variables']
Given the number of records and that some variables are binary, we might be facing the curse of dimensionality.;['Breast_Cancer_nr_records_nr_variables']
Given the number of records and that some variables are numeric, we might be facing the curse of dimensionality.;['Breast_Cancer_nr_records_nr_variables']
We face the curse of dimensionality when training a classifier with this dataset.;['Breast_Cancer_nr_records_nr_variables']
The intrinsic dimensionality of this dataset is 96.;['Breast_Cancer_correlation_heatmap']
The intrinsic dimensionality of this dataset is 34.;['Breast_Cancer_correlation_heatmap']
The intrinsic dimensionality of this dataset is 38.;['Breast_Cancer_correlation_heatmap']
The intrinsic dimensionality of this dataset is 59.;['Breast_Cancer_correlation_heatmap']
The intrinsic dimensionality of this dataset is 64.;['Breast_Cancer_correlation_heatmap']
The figure doesn’t show any missing values for perimeter_worst, but these may be hidden as some non-pre-identified value.;['Breast_Cancer_histograms_numeric', 'Breast_Cancer_mv']
The figure doesn’t show any missing values for texture_worst, but these may be hidden as some non-pre-identified value.;['Breast_Cancer_histograms_numeric', 'Breast_Cancer_mv']
The figure doesn’t show any missing values for radius_worst, but these may be hidden as some non-pre-identified value.;['Breast_Cancer_histograms_numeric', 'Breast_Cancer_mv']
The figure doesn’t show any missing values for symmetry_se, but these may be hidden as some non-pre-identified value.;['Breast_Cancer_histograms_numeric', 'Breast_Cancer_mv']
The figure doesn’t show any missing values for smoothness_se, but these may be hidden as some non-pre-identified value.;['Breast_Cancer_histograms_numeric', 'Breast_Cancer_mv']
The figure doesn’t show any missing values for area_se, but these may be hidden as some non-pre-identified value.;['Breast_Cancer_histograms_numeric', 'Breast_Cancer_mv']
The figure doesn’t show any missing values for perimeter_se, but these may be hidden as some non-pre-identified value.;['Breast_Cancer_histograms_numeric', 'Breast_Cancer_mv']
The figure doesn’t show any missing values for texture_se, but these may be hidden as some non-pre-identified value.;['Breast_Cancer_histograms_numeric', 'Breast_Cancer_mv']
The figure doesn’t show any missing values for perimeter_mean, but these may be hidden as some non-pre-identified value.;['Breast_Cancer_histograms_numeric', 'Breast_Cancer_mv']
The figure doesn’t show any missing values for texture_mean, but these may be hidden as some non-pre-identified value.;['Breast_Cancer_histograms_numeric', 'Breast_Cancer_mv']
All variables, but the class, should be dealt with as symbolic.;['Breast_Cancer_scatter-plots', 'Breast_Cancer_histograms_numeric']
All variables, but the class, should be dealt with as date.;['Breast_Cancer_scatter-plots', 'Breast_Cancer_histograms_numeric']
All variables, but the class, should be dealt with as binary.;['Breast_Cancer_scatter-plots', 'Breast_Cancer_histograms_numeric']
All variables, but the class, should be dealt with as numeric.;['Breast_Cancer_scatter-plots', 'Breast_Cancer_histograms_numeric']
The variable perimeter_worst can be seen as ordinal.;['Breast_Cancer_scatter-plots', 'Breast_Cancer_histograms_numeric']
The variable texture_worst can be seen as ordinal.;['Breast_Cancer_scatter-plots', 'Breast_Cancer_histograms_numeric']
The variable radius_worst can be seen as ordinal.;['Breast_Cancer_scatter-plots', 'Breast_Cancer_histograms_numeric']
The variable symmetry_se can be seen as ordinal.;['Breast_Cancer_scatter-plots', 'Breast_Cancer_histograms_numeric']
