QId;Score;Possible to answer;Original;Notes;Answer
"376;";5;0;1;var names wrong;
"377;";5;1;1;;F
"378;";5;1;1;slightly;F
"379;";5;1;1;;F
"380;";5;0;1;can't say;
"381;";5;0;1;recall instead of acc;
"382;";3;1;;too easy;F
"383;";5;1;;;T
"384;";1;0;;can't say;
"385;";5;1;;;T
"386;";3;1;;too easy;F
"387;";3;1;;too easy;F
"388;";1;0;;can't say;
"389;";5;1;;50% ???;F
"390;";5;1;;all 0;T
"391;";3;1;;too easy;F
"392;";3;1;;too easy;F
"393;";4;1;;;F
"394;";3;1;;too easy;F
"395;";3;1;;too easy;F
"396;";3;1;;too easy;F
"397;";5;1;;;T
"398;";1;0;;can't say;
"399;";2;1;;non-interesting;F
"400;";3;1;;too easy;F
"401;";1;0;;can't say;
"402;";5;1;;;F
"403;";1;0;;wrong vars in tree;
"404;";5;1;;;F
"405;";3;1;;too easy;F
"406;";5;1;;;F
"407;";5;1;;;F
"408;";4;1;;;F
"409;";5;1;;;T
"410;";5;1;;it's 2;F
"411;";5;1;;;T
"412;";3;1;;too easy;F
"413;";5;1;;;F
"414;";4;1;;;F
"415;";1;0;;K=???;
"416;";5;1;;;F
"417;";5;1;;;F
"418;";5;1;;;F
"419;";5;1;;not for all;F
"420;";5;1;;;F
"421;";5;1;;;T
"422;";5;1;;;F
"423;";5;1;;;T
"424;";3;1;;it's binary;F
"425;";3;1;;too easy;F
"426;";3;1;;too easy;F
"427;";5;1;;;F
"428;";5;1;;"FP=21; FN=87+44+19";T
"429;";4;1;;;F
"430;";5;1;;;T
"431;";5;1;;;F
"432;";5;1;;;F
"433;";5;1;;over 4;F
"434;";5;1;;;T
"435;";5;1;;;T
"436;";5;1;;;F
"437;";5;1;;;F
"438;";3;1;;it's binary;F
"439;";1;0;;vars do not match;
"440;";5;1;;38%;F
"441;";5;1;;;F
"442;";5;1;;;T
"443;";3;1;;too easy;T
"444;";5;1;;;F
"445;";4;1;;;F
"446;";5;1;;1;T
"447;";5;1;;;T
"448;";5;1;;;T
"449;";5;1;;;F
"450;";5;1;1;;F
"451;";5;1;;;F
"452;";5;1;;;F
"453;";3;1;;too easy;F
"454;";5;1;;;F
"455;";5;1;;;F
"456;";4;1;;;T
"457;";3;1;;too easy;F
"458;";4;1;;;F
"459;";3;1;;too easy;F
"460;";5;1;;;T
"461;";1;0;;recall instead of acc;
"462;";5;1;;;T
"463;";5;1;;;T
"464;";5;1;;;F
"465;";5;1;;;F
"466;";3;1;;it's binary;F
"467;";5;1;;;T
"468;";5;1;;;F
"469;";5;1;;;F
